t [min]	h [mm]	Q [m3/s]
19035	398	9.0
19050	400	9.0
19065	402	9.1
19080	404	9.1
19095	405	9.1
19110	406	9.1
19125	407	9.2
19140	410	9.2
19155	409	9.2
19170	410	9.2
19185	416	9.3
19200	420	9.4
19215	421	9.4
19230	420	9.4
19245	421	9.4
19260	434	9.7
19275	436	9.7
19290	440	9.8
19305	445	9.9
19320	452	10.0
19335	453	10.1
19350	462	10.3
19365	467	10.4
19380	475	10.6
19395	480	10.7
19410	494	11.0
19425	502	11.2
19440	511	11.5
19455	524	11.8
19470	537	12.2
19485	545	12.5
19500	564	13.1
19515	564	13.1
19530	580	13.6
19545	588	13.9
19560	600	14.3
19575	612	14.8
19590	624	15.2
19605	630	15.5
19620	636	15.7
19635	644	16.0
19650	644	16.0
19665	654	16.4
19680	657	16.6
19695	658	16.6
19710	666	16.9
19725	665	16.9
19740	668	17.0
19755	680	17.6
19770	682	17.6
19785	692	18.1
19800	686	17.8
19815	690	18.0
19830	694	18.2
19845	695	18.2
19860	684	17.7
19875	672	17.2
19890	672	17.2
19905	667	17.0
19920	653	16.4
19935	642	15.9
19950	655	16.5
19965	645	16.1
19980	637	15.7
19995	640	15.9
20010	629	15.4
20025	632	15.5
20040	623	15.2
20055	615	14.9
20070	618	15.0
20085	614	14.8
20100	611	14.7
20115	601	14.4
20130	602	14.4
20145	597	14.2
20160	593	14.1
20175	593	14.1
20190	589	13.9
20205	588	13.9
20220	581	13.7
20235	581	13.7
20250	582	13.7
20265	578	13.5
20280	577	13.5
20295	572	13.3
20310	565	13.1
20325	564	13.1
20340	570	13.3
20355	567	13.2
20370	564	13.1
20385	560	13.0
20400	559	12.9
20415	564	13.1
20430	556	12.8
20445	555	12.8
20460	548	12.6
20475	539	12.3
20490	542	12.4
20505	549	12.6
20520	534	12.1
20535	535	12.2
20550	536	12.2
20565	531	12.1
20580	532	12.1
20595	523	11.8
20610	523	11.8
20625	523	11.8
20640	523	11.8
20655	516	11.6
20670	513	11.5
20685	513	11.5
20700	513	11.5
20715	511	11.5
20730	513	11.5
20745	505	11.3
20760	503	11.3
20775	504	11.3
20790	504	11.3
20805	498	11.1
20820	498	11.1
20835	499	11.2
20850	491	11.0
20865	488	10.9
20880	485	10.8
20895	488	10.9
20910	492	11.0
20925	478	10.6
20940	479	10.7
20955	484	10.8
20970	487	10.9
20985	469	10.4
21000	478	10.6
21015	478	10.6
21030	474	10.5
21045	477	10.6
21060	476	10.6
21075	469	10.4
21090	471	10.5
21105	470	10.4
21120	476	10.6
21135	478	10.6
21150	473	10.5
21165	472	10.5
21180	476	10.6
21195	473	10.5
21210	473	10.5
21225	468	10.4
21240	470	10.4
21255	471	10.5
21270	471	10.5
21285	470	10.4
21300	468	10.4
21315	464	10.3
21330	466	10.3
21345	470	10.4
21360	459	10.2
21375	466	10.3
21390	465	10.3
21405	452	10.0
21420	460	10.2
21435	460	10.2
21450	457	10.1
21465	457	10.1
21480	459	10.2
21495	454	10.1
21510	458	10.2
21525	460	10.2
21540	452	10.0
21555	456	10.1
21570	455	10.1
21585	455	10.1
21600	452	10.0
21615	457	10.1
21630	454	10.1
21645	453	10.1
21660	451	10.0
21675	456	10.1
21690	450	10.0
21705	451	10.0
21720	451	10.0
21735	451	10.0
21750	449	10.0
21765	451	10.0
21780	452	10.0
21795	451	10.0
21810	445	9.9
21825	447	9.9
21840	447	9.9
21855	448	9.9
21870	445	9.9
21885	442	9.8
21900	443	9.8
21915	443	9.8
21930	443	9.8
21945	438	9.7
21960	439	9.8
21975	439	9.8
21990	437	9.7
22005	435	9.7
22020	437	9.7
22035	433	9.6
22050	433	9.6
22065	435	9.7
22080	436	9.7
22095	433	9.6
22110	434	9.7
22125	428	9.5
22140	429	9.6
22155	432	9.6
22170	422	9.4
22185	429	9.6
22200	429	9.6
22215	425	9.5
22230	430	9.6
22245	427	9.5
22260	423	9.4
22275	424	9.5
22290	424	9.5
22305	426	9.5
22320	417	9.3
22335	416	9.3
22350	420	9.4
22365	423	9.4
22380	419	9.4
22395	423	9.4
22410	420	9.4
22425	415	9.3
22440	413	9.3
22455	418	9.4
22470	418	9.4
22485	409	9.2
22500	415	9.3
22515	415	9.3
22530	409	9.2
22545	415	9.3
22560	410	9.2
22575	407	9.2
22590	415	9.3
22605	413	9.3
22620	412	9.2
22635	412	9.2
22650	414	9.3
22665	410	9.2
22680	410	9.2
22695	411	9.2
22710	410	9.2
22725	409	9.2
22740	411	9.2
22755	410	9.2
22770	405	9.1
22785	411	9.2
22800	407	9.2
22815	410	9.2
22830	410	9.2
22845	411	9.2
22860	413	9.3
22875	409	9.2
22890	408	9.2
22905	409	9.2
22920	408	9.2
22935	412	9.2
22950	408	9.2
22965	406	9.1
22980	409	9.2
22995	403	9.1
23010	411	9.2
23025	407	9.2
23040	402	9.1
23055	407	9.2
23070	406	9.1
23085	405	9.1
23100	404	9.1
23115	407	9.2
23130	404	9.1
23145	407	9.2
23160	407	9.2
23175	401	9.1
23190	411	9.2
23205	405	9.1
23220	405	9.1
23235	402	9.1
23250	408	9.2
